##WSC2023 Route
#Name, Lat, Long, Dist
State Square Darwin,-12.4658900969626,130.843346220452,0
Noonamah,-12.6306687558721,131.073768032051,42300
Adelaide River,-13.2398997691437,131.106719426499,70900
Hayes Creek,-13.5870138297743,131.4608739618,57400
Emerald Springs,-13.6320927767486,131.630383863471,23100
Pine Creek,-13.823290746127,131.835033988497,44200
Katherine,-14.4628831830568,132.260221331901,90000
Mataranka,-14.92290325226571, 133.06754991511536,106000
Warloch,-15.236462710188661, 133.11481367297566,36100
Larrimah,-15.575044664665949, 133.21753965609574,39500
Daly Waters,-16.3072348604318, 133.38642946363888,92700
Dunmurra,-16.677547558728183, 133.41289171679838,44700
Elliott,-17.55045912534057, 133.54041200048027,101000
Renner Springs,-18.318218017837754, 133.79483708788388,92700
Banka Banka West,-18.792827917450726, 134.03290200567278,59500
Three Ways,-19.436794160163554, 134.2071871673853,77100
Tennant Creek,-19.644489721270837, 134.19164678188397,25000
Devils Marbles Hotel,-20.63997310101974, 134.22237830298587,115000
Barrow Creek,-21.379996313144897, 133.97406324480482,90500
Ti-Tree,-22.128046704893144, 133.4156594359269,109000
Aileron,-22.639650676087882, 133.349292822543,59400
LHS behind Monument (Tight),-23.524386811175525, 133.86033227377516,113000
Alice Springs,-23.697990473632395, 133.88076738078863,21300
Stuarts Well,-24.339913642088852, 133.4583392095633,92100
Finke River,-24.551149232785356, 133.23881909099268,33700
Ghan (Erldunda),-25.197479372728786, 133.20067239874052,74400
Kulgera,-25.838711752387717, 133.2981858335414,74600
NT/SA Border,-25.998624911741246, 133.19698015783928,20700
The Marryat Rest Area,-26.637545130106325, 133.27764157451136,73500
Marla,-27.304078212739515, 133.62128303456595,85000
2km past Cadney Park,-27.904712147051725, 134.0571865229805,80800
Pootnoura Rest Area,-28.46468720235165, 134.19375152768512,66800
Coober Pedy,-29.017495709898476, 134.75615127058396,99700
Ingomar,-29.351784163606588, 134.98419054105355,46700
Bon Bon Rest Area,-30.35575727356695, 135.32914863777023,122000
Glendambo,-30.967846816818376, 135.7511799755306,84800
Pimba,-31.25541489747584, 136.80446688446372,114000
Oakden Hills,-31.643997705041272, 137.15019795630667,57900
Pt. Augusta,-32.49349162158965, 137.77206937877463,116000
Mambray Creek,-32.83002587284756, 137.97965154239273,44800
Warnertown,-33.23475826252843, 138.11840745733127,49400
Crystal Brook Turnoff 1,-33.32594792444542, 138.18432835791563,12300
Crystal Brook Turnoff 2,-33.35745606865497, 138.20869988797565,4800
Redhill,-33.537591436402955, 138.22516160817258,20600
Snowtown,-33.77692833408796, 138.21112524000344,27900
Lochiel,-33.93142143150084, 138.16011281591128,18400
Pt. Wakefield,-34.184011969194785, 138.1535276458985,31400
Dublin,-34.451219415891295, 138.3506704025407,37000
Two Wells,-34.594269123321055, 138.50861135226333,21900
Adelaide,-34.902925227323315, 138.59004369674474,38700
Victoria Sq.,-34.92837875123812, 138.60025239932298,4000
